id,aepi,aepf,aepib,aepfb,aepic,aepfc,info,time,fcalls,nrotorpoints
29,443.4727000955456,448.2827008390067,455.80959887396523,460.7975199646596,443.4727000955456,448.2827008390067,Finished successfully: optimality conditions satisfied,135.03809690475464,644,10
30,444.5653420796265,449.63857118177293,456.95424452006154,462.18463861797306,444.5653420796265,449.63857118177293,Finished successfully: optimality conditions satisfied,102.73966693878174,497,10
31,443.7210223776874,448.56381669081236,456.0675751123599,461.0874363526605,443.7210223776874,448.56381669081236,Finished successfully: optimality conditions satisfied,105.03731608390808,518,10
32,444.37999827880714,449.19744378474024,456.76309611147394,461.7140366917023,444.37999827880714,449.19744378474024,Finished successfully: optimality conditions satisfied,110.10168099403381,525,10
33,443.3014075367485,449.1027606258589,455.6438278028925,461.61957495738,443.3014075367485,449.1027606258589,Finished successfully: optimality conditions satisfied,126.1823410987854,616,10
34,442.83596639900765,449.414438224834,455.1639495042491,461.9576820699958,442.83596639900765,449.414438224834,Finished successfully: optimality conditions satisfied,124.44678902626038,630,10
35,443.71085358694666,449.45605266234696,456.0519328223897,462.0048104775968,443.71085358694666,449.45605266234696,Finished successfully: optimality conditions satisfied,113.61690592765808,567,10
36,444.3529254869953,449.6288073368658,456.72602945360615,462.1645296367841,444.3529254869953,449.6288073368658,Finished successfully: optimality conditions satisfied,104.83969688415527,532,10
37,443.44824128639095,449.12047455404706,455.78001040993325,461.6335373106411,443.44824128639095,449.12047455404706,Finished successfully: optimality conditions satisfied,144.7410809993744,707,10
38,443.1543761910233,449.7201416933589,455.4832624649998,462.27107173240495,443.1543761910233,449.7201416933589,Finished successfully: optimality conditions satisfied,112.4662549495697,553,10
39,443.9530445658411,449.32336920875747,456.31632096837967,461.8599577204258,443.9530445658411,449.32336920875747,Finished successfully: optimality conditions satisfied,91.72133088111877,441,10
40,444.03363095742475,449.6600619218752,456.3956553646359,462.2154381394452,444.03363095742475,449.6600619218752,Finished successfully: optimality conditions satisfied,113.30098485946655,567,10
41,443.48445438993383,449.5404338708199,455.8333435498735,462.0812619327585,443.48445438993383,449.5404338708199,Finished successfully: optimality conditions satisfied,114.59533715248108,581,10
42,443.0635137372652,449.3058335613832,455.391677881157,461.84078969254824,443.0635137372652,449.3058335613832,Finished successfully: optimality conditions satisfied,101.82748699188232,511,10
43,443.5048848183305,449.84814835414016,455.8480811108902,462.4007407860553,443.5048848183305,449.84814835414016,Finished successfully: optimality conditions satisfied,100.74716091156006,490,10
44,443.49774679752625,448.803535185588,455.8409261838836,461.32834669457793,443.49774679752625,448.803535185588,Finished successfully: optimality conditions satisfied,98.04729294776917,497,10
45,442.84198089008737,450.151381680348,455.1523346502896,462.71253235679757,442.84198089008737,450.151381680348,Finished successfully: optimality conditions satisfied,117.4578549861908,581,10
46,442.9524557827834,449.3735343947052,455.2877394319881,461.9075542598862,442.9524557827834,449.3735343947052,Finished successfully: optimality conditions satisfied,165.38518905639648,798,10
47,443.1581633324001,449.5374121595269,455.4815307643585,462.0854314381412,443.1581633324001,449.5374121595269,Finished successfully: optimality conditions satisfied,136.85580801963806,637,10
48,443.27113530143777,449.22204484122346,455.62493244073823,461.74991353349236,443.27113530143777,449.22204484122346,Finished successfully: optimality conditions satisfied,117.36834192276001,581,10
49,444.6391908387254,449.37580651845695,457.0258477242432,461.91291866637175,444.6391908387254,449.37580651845695,Finished successfully: optimality conditions satisfied,141.1716229915619,693,10
50,444.0441291603845,449.7769074695055,456.39756140163024,462.30927247063124,444.0441291603845,449.7769074695055,Finished successfully: optimality conditions satisfied,113.21064591407776,560,10
51,443.5287200811384,449.5934899052359,455.8728713260265,462.14602641777907,443.5287200811384,449.5934899052359,Finished successfully: optimality conditions satisfied,88.26277899742126,448,10
52,443.85827149966434,449.2798528823946,456.22133658074415,461.8085360768262,443.85827149966434,449.2798528823946,Finished successfully: optimality conditions satisfied,98.92052793502808,483,10
53,443.7495138947202,450.0381956273261,456.09734617464073,462.57570490019907,443.7495138947202,450.0381956273261,Finished successfully: optimality conditions satisfied,167.3401038646698,777,10
54,442.8512838078009,449.2918812987994,455.1625928518066,461.8334981675114,442.8512838078009,449.2918812987994,Finished successfully: optimality conditions satisfied,111.00249791145325,532,10
55,444.2528134220561,450.1031342972385,456.6206063938445,462.6653233429194,444.2528134220561,450.1031342972385,Finished successfully: optimality conditions satisfied,118.3610908985138,581,10
56,443.1945558906567,449.7740304807224,455.5275839430178,462.30229682512197,443.1945558906567,449.7740304807224,Finished successfully: optimality conditions satisfied,149.2679328918457,763,10
57,442.85523260273624,449.86506006231934,455.1691967474233,462.402479139204,442.85523260273624,449.86506006231934,Finished successfully: optimality conditions satisfied,116.70245099067688,581,10
58,443.7184051438413,449.6570383315379,456.0619197454139,462.2022556388758,443.7184051438413,449.6570383315379,Finished successfully: optimality conditions satisfied,124.24721002578735,609,10
59,443.4013625456333,449.61690706856285,455.72344993090456,462.1606271179886,443.4013625456333,449.61690706856285,Finished successfully: optimality conditions satisfied,105.39203786849976,539,10
60,443.2731267298683,449.99881023920614,455.60432815065263,462.55357019805683,443.2731267298683,449.99881023920614,Finished successfully: optimality conditions satisfied,133.2563910484314,658,10
61,442.86971335589743,448.838739130248,455.18907247093887,461.36850888864427,442.86971335589743,448.838739130248,Finished successfully: optimality conditions satisfied,112.7031180858612,553,10
62,442.971249128003,449.27211827382376,455.28253682160687,461.80242918952086,442.971249128003,449.27211827382376,Finished successfully: optimality conditions satisfied,115.25891208648682,574,10
63,443.3788458108349,449.70133403892726,455.7261688898774,462.2425826367167,443.3788458108349,449.70133403892726,Finished successfully: optimality conditions satisfied,103.33482909202576,497,10
64,443.359730715225,449.4015978238824,455.69603235782523,461.9417472324613,443.359730715225,449.4015978238824,Finished successfully: optimality conditions satisfied,118.98479390144348,588,10
65,443.9550512970983,449.94923520626827,456.3105078763153,462.5046217906668,443.9550512970983,449.94923520626827,Finished successfully: optimality conditions satisfied,110.8515899181366,560,10
66,443.9010432060963,449.7960103125852,456.2479569875139,462.3305819797612,443.9010432060963,449.7960103125852,Finished successfully: optimality conditions satisfied,170.99846410751343,847,10
67,443.54483909451966,449.4752576015858,455.8951377532185,462.02344259078444,443.54483909451966,449.4752576015858,Finished successfully: optimality conditions satisfied,106.58969497680664,525,10
68,443.2644851653133,449.6869558572353,455.60314038275004,462.24845458324836,443.2644851653133,449.6869558572353,Finished successfully: optimality conditions satisfied,118.22874093055725,588,10
69,443.9682948770186,449.0575311277677,456.3338280788815,461.5716347840131,443.9682948770186,449.0575311277677,Finished successfully: optimality conditions satisfied,114.40257501602173,588,10
70,443.2841428672014,449.64446803836245,455.613305190862,462.18143546225957,443.2841428672014,449.64446803836245,Finished successfully: optimality conditions satisfied,96.22394490242004,476,10
71,442.8459078949144,450.03293554936914,455.1689957280171,462.57923278438534,442.8459078949144,450.03293554936914,Finished successfully: optimality conditions satisfied,116.72261595726013,595,10
72,442.9184790905463,449.9789347183369,455.25072010676934,462.52350412031706,442.9184790905463,449.9789347183369,Finished successfully: optimality conditions satisfied,124.99365186691284,637,10
73,443.4579790934219,449.638849409909,455.7945796972178,462.1716590402593,443.4579790934219,449.638849409909,Finished successfully: optimality conditions satisfied,129.69592881202698,644,10
74,443.57948244136156,449.4041851504082,455.92013725599077,461.95049652856665,443.57948244136156,449.4041851504082,Finished successfully: optimality conditions satisfied,109.15422487258911,539,10
75,443.3922052122565,449.5657030524069,455.7399658127033,462.10920572705356,443.3922052122565,449.5657030524069,Finished successfully: optimality conditions satisfied,212.47669315338135,994,10
76,443.26294160010764,449.8336074600565,455.6012218906984,462.3798122039578,443.26294160010764,449.8336074600565,Finished successfully: optimality conditions satisfied,124.80220103263855,644,10
77,442.75316618353037,449.47732817109727,455.05878546720663,462.0174423536159,442.75316618353037,449.47732817109727,Finished successfully: optimality conditions satisfied,123.65463280677795,623,10
78,443.5632535043969,449.5373956982392,455.8923103323959,462.07638893300947,443.5632535043969,449.5373956982392,Finished successfully: optimality conditions satisfied,124.4463939666748,637,10
79,443.9414041570158,449.38757529328933,456.29309171904396,461.91259446603146,443.9414041570158,449.38757529328933,Finished successfully: optimality conditions satisfied,123.0696849822998,602,10
80,443.29479023909386,449.88324430707314,455.6203761763295,462.43767013410553,443.29479023909386,449.88324430707314,Finished successfully: optimality conditions satisfied,158.42965292930603,791,10
81,443.43271924204294,449.39529481758444,455.76683165753974,461.924919252277,443.43271924204294,449.39529481758444,Finished successfully: optimality conditions satisfied,114.49422907829285,574,10
82,442.8177363683048,449.75437005884174,455.1277468745244,462.2991753968192,442.8177363683048,449.75437005884174,Finished successfully: optimality conditions satisfied,158.98363304138184,805,10
83,442.85182322515567,448.9457470597537,455.160378846726,461.4651080406693,442.85182322515567,448.9457470597537,Finished successfully: optimality conditions satisfied,144.22056984901428,714,10
84,443.4416205234821,448.7231980961292,455.7780154910937,461.26141122196736,443.4416205234821,448.7231980961292,Finished successfully: optimality conditions satisfied,101.58162689208984,504,10
85,444.03375791021654,449.52241289137936,456.3873637415696,462.0629360653628,444.03375791021654,449.52241289137936,Finished successfully: optimality conditions satisfied,90.59672498703003,462,10
86,443.6388489516148,449.3696898035511,455.9783701634893,461.90791898104067,443.6388489516148,449.3696898035511,Finished successfully: optimality conditions satisfied,128.033518075943,637,10
87,443.946720329178,449.28073154345645,456.3071111748452,461.82443845680825,443.946720329178,449.28073154345645,Finished successfully: optimality conditions satisfied,102.67880392074585,518,10
88,443.3808148160682,449.97521544711947,455.7169035318221,462.5487551405242,443.3808148160682,449.97521544711947,Finished successfully: optimality conditions satisfied,112.10595083236694,567,10
89,442.6846429128342,449.58163580660977,455.0009287460496,462.1278333115423,442.6846429128342,449.58163580660977,Finished successfully: optimality conditions satisfied,122.47028493881226,581,10
90,444.35546339802085,449.2125867258339,456.7230843132457,461.7534710422262,444.35546339802085,449.2125867258339,Finished successfully: optimality conditions satisfied,113.84313917160034,532,10
91,443.4948669001671,449.36535642807814,455.8299494481692,461.9065113150604,443.4948669001671,449.36535642807814,Finished successfully: optimality conditions satisfied,103.9862310886383,518,10
92,443.0232505966203,449.4712792815721,455.3427304427739,461.99628617970995,443.0232505966203,449.4712792815721,Finished successfully: optimality conditions satisfied,145.39939093589783,693,10
93,443.18668047228306,449.93163170255195,455.52526810459057,462.4878379718705,443.18668047228306,449.93163170255195,Finished successfully: optimality conditions satisfied,119.32889008522034,609,10
94,443.8356649010818,449.3806278946757,456.1989880644618,461.9044952245087,443.8356649010818,449.3806278946757,Finished successfully: optimality conditions satisfied,114.50613903999329,581,10
95,443.9481683600328,449.5745809000848,456.3151087442017,462.1007529259732,443.9481683600328,449.5745809000848,Finished successfully: optimality conditions satisfied,125.11841797828674,616,10
96,443.1195080629842,449.1288547699394,455.4521985015447,461.6560432082569,443.1195080629842,449.1288547699394,Finished successfully: optimality conditions satisfied,125.14255690574646,644,10
97,443.64325532398635,449.570929182692,455.994015641342,462.114459859626,443.64325532398635,449.570929182692,Finished successfully: optimality conditions satisfied,135.69588494300842,679,10
98,443.63389973964274,449.8529202434232,455.97546719604674,462.3960327595449,443.63389973964274,449.8529202434232,Finished successfully: optimality conditions satisfied,136.81925892829895,686,10
99,443.8962056124863,449.3714948746315,456.25165467830124,461.91124854495496,443.8962056124863,449.3714948746315,Finished successfully: optimality conditions satisfied,135.60103011131287,679,10
100,443.1139089825184,449.43993089732805,455.4429618494926,461.961171148388,443.1139089825184,449.43993089732805,Finished successfully: optimality conditions satisfied,136.13766717910767,679,10
1,456.2471493011723,462.5190688345198,456.2471493011723,462.5190688345198,456.2471493011723,462.5190688345198,Finished successfully: optimality conditions satisfied,1252.912400007248,588,100
2,455.2836649430397,462.3020394754932,455.2836649430397,462.3020394754932,455.2836649430397,462.3020394754932,Finished successfully: optimality conditions satisfied,1358.1147830486298,658,100
3,455.55469732754943,461.53006772560417,455.55469732754943,461.53006772560417,455.55469732754943,461.53006772560417,Finished successfully: optimality conditions satisfied,1175.7091710567474,546,100
4,456.0998871010726,461.8768347604193,456.0998871010726,461.8768347604193,456.0998871010726,461.8768347604193,Finished successfully: optimality conditions satisfied,1343.0595932006836,630,100
5,456.15176983915444,461.9614693542357,456.15176983915444,461.9614693542357,456.15176983915444,461.9614693542357,Finished successfully: optimality conditions satisfied,1068.992928981781,511,100
6,455.2147363988811,462.31976326353856,455.2147363988811,462.31976326353856,455.2147363988811,462.31976326353856,Finished successfully: optimality conditions satisfied,1520.0238349437714,728,100
7,455.4857839602079,461.60514846831705,455.4857839602079,461.60514846831705,455.4857839602079,461.60514846831705,Finished successfully: optimality conditions satisfied,1094.9456539154053,511,100
8,455.42324870604125,461.9091321594045,455.42324870604125,461.9091321594045,455.42324870604125,461.9091321594045,Finished successfully: optimality conditions satisfied,1278.5015110969543,609,100
9,456.7049405339424,462.30171562307487,456.7049405339424,462.30171562307487,456.7049405339424,462.30171562307487,Finished successfully: optimality conditions satisfied,1470.7138390541077,686,100
10,455.64848009737693,461.9214090400457,455.64848009737693,461.9214090400457,455.64848009737693,461.9214090400457,Finished successfully: optimality conditions satisfied,1232.8027701377869,595,100
11,455.978266738349,462.15827081298227,455.978266738349,462.15827081298227,455.978266738349,462.15827081298227,Finished successfully: optimality conditions satisfied,1961.4077007770538,917,100
12,455.5374701205085,462.1638132091501,455.5374701205085,462.1638132091501,455.5374701205085,462.1638132091501,Finished successfully: optimality conditions satisfied,1519.5109369754791,721,100
