aepib,aepfb
461.7851626203189,485.61494689593275
457.9193206651514,490.6111868853369
450.2717114491972,492.75323198313384
458.88300468925314,498.0929231524122
451.1675947550464,495.2895844036222
455.01203983337183,498.08786615416597
442.41480900966513,489.3320635311357
462.1104960297637,493.27651129948384
457.04140471787815,493.732751077872
457.2679415469927,494.65285365414627
456.95935205260685,498.0908628584469
461.5709172857705,486.3030731375946
456.48314766218346,493.4694641280759
445.2870980379399,493.22205919869435
443.2015704454805,494.13800258115606
446.83423182902703,498.0922020888349
462.0521986496196,492.8332501932613
450.48754713691545,493.9938249213359
455.8962707488889,476.0296868244035
450.32434279724674,496.46273132246296
448.1907514321319,498.08926167249575
458.8674053246171,489.75070235738764
454.42515558280604,493.71881924374253
450.2146290510834,497.96061123417155
452.4053929034225,496.1225326683187
460.7424988189879,492.96068887886713
442.76199836645566,494.0154785494455
457.33347562300435,494.4481513855453
458.4613706829558,495.84952370674955
449.1320225304757,497.99188389244836
459.6526215842102,498.03028537747247
457.5213297999412,494.2872445443983
456.9751752600992,492.3268268246168
460.5344765419219,488.77803075941455
461.18441919951954,494.6568944277769
462.010953529347,498.2150266839567
443.388768877632,493.3927051683472
456.4704145544505,495.0738025873238
457.6980919597935,494.9581560118643
455.0322195919226,490.33064581141383
457.44970768918637,495.05079961899946
453.9876097772664,490.37390405460457
457.8671545202258,494.0987203496631
456.88718934463395,495.6768748958864
450.0753292778629,496.0419824011375
448.4158006912416,493.0715654434316
443.3103910333345,492.3354935215898
455.75113789055126,495.82661906351325
460.4028209442184,488.95891231548745
457.0443537880617,496.59245109978554
446.92911749812674,492.457667180981
454.77502616664214,490.1672064382108
451.85336581921507,497.9959577661748
457.5309028384488,493.1004594434992
443.43890158897926,494.9192158590521
450.763076014481,492.41290043321817
458.545061191018,493.62443998087156
459.84536973066054,493.56208539346363
450.09768520643263,494.7019945475687
460.61701788089596,495.6133138002843
444.04355240629457,488.7749882170202
449.9279835927211,495.29276058068825
459.9707392461972,498.13523448682434
457.51360947427685,494.3841095295119
455.96417426177067,484.3180103195686
454.76874430128316,494.97150351339565
460.5868333715015,495.1595398848712
461.17801508931234,494.4934442405307
460.54981253982555,498.2131467774285
450.2746024951364,497.97086530385127
461.9322316344544,493.5140670556217
448.7946412910446,488.71968425844494
457.1507872881652,492.9293511169098
459.06072823028234,492.65095240122474
441.55601651952463,491.47073411396184
461.2689639193561,498.0261607388523
452.7704943850067,494.8993471971273
460.2206641156667,495.94205456132516
461.04463134172266,486.7714994548211
461.68928563113013,494.8398088506723
455.8452822575987,496.3486239994586
460.64482690285274,498.0893606519235
462.03016485734474,492.74952184073567
455.9933919423694,491.9661353545282
456.07053966502474,492.4484811172485
